Date,Price,Open,High,Low,Vol.,Change %
1/31/2025,11.17,11.248,11.272,11.1535,,-0.53%
1/30/2025,11.229,11.203,11.2995,11.1885,,0.38%
1/29/2025,11.186,11.174,11.236,11.156,,0.26%
1/28/2025,11.157,11.2645,11.2795,11.148,,-0.86%
1/27/2025,11.254,11.3125,11.316,11.24,,-0.40%
1/24/2025,11.299,11.3385,11.357,11.268,,-0.21%
1/23/2025,11.323,11.3315,11.3685,11.2895,,0.10%
1/22/2025,11.312,11.397,11.4275,11.3235,,-0.61%
1/21/2025,11.381,11.365,11.4225,11.293,,0.17%
1/20/2025,11.362,11.23,11.3955,11.2055,,1.40%
1/17/2025,11.205,11.222,11.272,11.2005,,0.01%
1/16/2025,11.204,11.205,11.283,11.1965,,0.16%
1/15/2025,11.186,11.1395,11.239,11.117,,0.58%
1/14/2025,11.121,11.0985,11.1605,11.0775,,0.37%
1/13/2025,11.08,10.988,11.109,10.9735,,1.15%
1/10/2025,10.954,11.1005,11.1235,10.9665,,-1.16%
1/9/2025,11.082,11.1085,11.1755,11.0535,,0.02%
1/8/2025,11.08,11.085,11.1695,11.053,,0.13%
1/7/2025,11.066,11.0685,11.1685,11.05,,0.14%
1/6/2025,11.051,11.0215,11.1305,10.9775,,0.33%
1/3/2025,11.015,11.016,11.0875,10.9895,,0.15%
1/2/2025,10.999,10.9,11.078,10.8935,,1.15%
1/1/2025,10.874,10.874,10.874,10.874,,0.00%
