Date,Price,Predicted,Selisih,Persentase Error
2025-02-28,110.02,105.37326229141512,4.64673770858488,4.2235390916059625
2025-02-27,109.77,105.2080479562387,4.561952043761295,4.155918779048278
2025-02-26,109.76,105.21178331935208,4.548216680647926,4.143783418957658
2025-02-25,109.63,105.24742557604478,4.382574423955219,3.9976050569690953
2025-02-24,108.67,105.13803316923467,3.5319668307653274,3.250176525964229
2025-02-21,109.18,105.10638428613106,4.073615713868946,3.731100672164266
2025-02-20,109.1,105.49261352936875,3.6073864706312406,3.3064953901294603
2025-02-19,107.8,105.3795736785946,2.420426321405401,2.245293433585715
2025-02-18,106.99,105.35289179506078,1.63710820493921,1.5301506729032714
2025-02-17,106.99,105.40292420297384,1.5870757970261593,1.4833870427387228
2025-02-14,106.69,105.35078813678672,1.3392118632132792,1.2552365387695934
2025-02-13,107.0,105.26230034403444,1.7376996559655566,1.6240183700612678
2025-02-12,105.94,105.2619650102875,0.6780349897125006,0.6400179249693229
2025-02-11,107.34,105.22109718948332,2.118902810516687,1.9740104439320727
2025-02-10,107.49,105.06693283334124,2.423067166658754,2.2542256643955287
2025-02-07,107.44,105.21089573666666,2.2291042633333404,2.0747433575328933
2025-02-06,107.78,105.15095693729576,2.629043062704241,2.439268011416071
2025-02-05,106.68,105.0009154329646,1.679084567035403,1.5739450384658822
2025-02-04,105.86,104.97390727993196,0.8860927200680351,0.8370420556093284
2025-02-03,106.15,104.8945609329122,1.2554390670878064,1.1827028422871468
